商店名稱,電話,address,商店編號,Latitude,Longitude
全家宏展店,226539324,台北市南港區三重路６６號１樓,58852,25.0571105,121.614302
全家德民店,226536783,台北市南港區八德路四段７６８巷９號１樓,62993,25.049727,121.5803904
全家港成店,226548729,台北市南港區南港路三段２號,53077,25.054544,121.5930487
全家南港公宅店,226546142,台北市南港區南港路二段３８巷６之２號,59213,25.0547743,121.6047706
全家小彎公宅店,227836507,台北市南港區向陽路２５６號１樓,61647,25.0580659,121.593695
全家工業二店,226558763,台北市南港區園區街３號２樓之７,15117,25.0584861,121.6118825
全家富康店,227821423,台北市南港區富康街８６號１Ｆ,10559,25.0519543,121.6169066
全家南港生技店,226534024,台北市南港區忠孝東路七段５０８之７號１樓,62962,25.0522286,121.6099135
全家港忠店,226511449,台北市南港區忠孝東路七段６３５號１樓,60526,25.0533168,121.615953
全家新昆陽店,227883495,台北市南港區昆陽街１４５號,52236,25.0501261,121.5941934
全家向陽店,227887390,台北市南港區東新里重陽路１６號一樓,15287,25.0551165,121.5959136
全家新成鑫店,227853529,台北市南港區玉成街１７６巷１號,52157,25.0443493,121.5843134
全家港運店,227857667,台北市南港區玉成街５２巷２弄７號一樓,60109,25.0477015,121.5813421
全家中研店,227839381,台北市南港區研究院路二段１２巷５５號１樓,59031,25.047711,121.613935
全家研究院店,226515140,台北市南港區研究院路２段７０巷１號,14429,25.0458652,121.6150046
全家港福店,226543532,台北市南港區福德街３７３巷６３號１樓,16553,25.0394789,121.5922369
全家大聯大店,226510364,台北市南港區經貿二路１９１號一樓,60111,25.0608537,121.6161053
全家京石店,227831176,台北市南港區經貿二路２３５巷３８號１樓,63221,25.0614302,121.6151147
全家中視店,227864176,台北市南港區興南街３９號１樓,11489,25.0561766,121.6014599
全家興華店,227834076,台北市南港區興華路８６號,11826,25.0559319,121.6056456
